Date,Brent Crude Oil Price,WTI Crude Oil Price,Percentage Change,High,Low,Volume
2024-01-01,77.02,71.65,$87.01,66.37,69.49,
2023-01-01,77.64,80.26,$93.84,66.74,71.33,
2022-01-01,94.53,76.08,$123.70,71.59,80.51,
2021-01-01,68.17,47.62,$84.65,47.62,75.21,
2020-01-01,39.68,61.17,$63.27,11.26,48.52,
2019-01-01,56.99,46.31,$66.24,46.31,61.14,
2018-01-01,65.23,60.37,$77.41,44.48,45.15,
2017-01-01,50.8,52.36,$60.46,42.48,60.46,
2016-01-01,43.29,36.81,$54.01,26.19,53.75,
2015-01-01,48.66,52.72,$61.36,34.55,37.13,
2014-01-01,93.17,95.14,$107.95,53.45,53.45,
2013-01-01,97.98,93.14,$110.62,86.65,98.17,
2012-01-01,94.05,102.96,$109.39,77.72,91.83,
2011-01-01,94.88,91.59,$113.39,75.4,98.83,
2010-01-01,79.48,81.52,$91.48,64.78,91.38,
2009-01-01,61.95,46.17,$81.03,34.03,79.39,
2008-01-01,99.67,99.64,$145.31,30.28,44.6,
2007-01-01,72.34,60.77,$99.16,50.51,95.95,
2006-01-01,66.05,63.11,$77.05,55.9,60.85,
2005-01-01,56.64,42.16,$69.91,42.16,61.06,
2004-01-01,41.51,33.71,$56.37,32.49,43.36,
2003-01-01,31.08,31.97,$37.96,25.25,32.51,
2002-01-01,26.19,21.13,$32.68,18.02,31.21,
2001-01-01,25.98,27.29,$32.21,17.5,19.96,
2000-01-01,30.38,25.56,$37.22,23.91,26.72,
1999-01-01,19.35,12.42,$28.03,11.38,25.76,
1998-01-01,14.42,17.41,$17.93,10.82,12.14,
1997-01-01,20.61,25.55,$26.55,17.6,17.65,
1996-01-01,22.12,19.83,$26.55,17.33,25.9,
1995-01-01,18.43,17.45,$20.53,16.86,19.54,
1994-01-01,17.2,14.52,$20.72,13.89,17.77,
1993-01-01,18.43,19.03,$21.05,13.98,14.19,
1992-01-01,20.58,19.43,$23.03,17.89,19.49,
1991-01-01,21.54,26.53,$32.25,17.43,19.15,
1990-01-01,24.53,22.88,$41.07,15.43,28.48,
1989-01-01,19.64,17.38,$24.62,16.99,21.84,
1988-01-01,15.97,17.77,$18.54,12.58,17.12,
1987-01-01,19.2,18.13,$22.44,15.12,16.74,
