date,GDP
2023-01-01,105435039507024.0
2022-01-01,101225059591363.0
2021-01-01,97527032881901.1
2020-01-01,85577718250195.5
2019-01-01,87945574337517.8
2018-01-01,86686870786621.5
2017-01-01,81550955754739.3
2016-01-01,76588030455295.5
2015-01-01,75359657218242.5
2014-01-01,79894385759929.2
2013-01-01,77751368312765.5
2012-01-01,75603976718162.8
2011-01-01,73957792909770.5
2010-01-01,66514174634776.0
2009-01-01,60718262754480.1
2008-01-01,64072295929643.4
2007-01-01,58314867929879.6
2006-01-01,51749808632586.7
2005-01-01,47760320738747.8
2004-01-01,44116244570755.0
2003-01-01,39152139289705.4
2002-01-01,34917697037982.8
2001-01-01,33626960202657.6
2000-01-01,33839387350047.3
1999-01-01,32730998280081.1
1998-01-01,31697043749659.3
1997-01-01,31752297154746.4
1996-01-01,31857694101272.1
1995-01-01,31140610056946.1
1994-01-01,27938851279645.6
1993-01-01,25959419035161.3
1992-01-01,25468013295178.4
1991-01-01,23823551632893.9
1990-01-01,22822610047367.9
1989-01-01,20324144454836.4
1988-01-01,19547533420110.2
1987-01-01,17485079208341.4
